Title,PublishedAt,Description,URL
"Share Market Highlights July 19, 2024: Sensex, Nifty slide as investors book profits after record-breaking rally",2024-07-19 01:05:09+00:00,"Sensex, Nifty updates on 19 July 2024. - Equity benchmark indices Sensex and Nifty tumbled on Friday as investors booked profits following a four-day record-breaking rally and weak global market trends. The 30-share BSE Sensex hit a new all-time high of 81,58…",https://www.thehindubusinessline.com/markets/stock-market-highlights-19-july-2024/article68418281.ece
Capital Goods stocks slide,2024-07-18 08:30:00+00:00,"Capital Goods stocks were trading with losses, with the BSE Capital Goods index decreasing  1236.17 points or 1.66% at 73223.89 at 13:46 IST.",https://www.business-standard.com/markets/capital-market-news/capital-goods-stocks-slide-124071800568_1.html
BEL shares down 3.23% as Nifty gains,2024-07-18 08:25:27+00:00,The stock quoted a 52-week high price of Rs 340.35 and low of Rs 123.55.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/bel-shares-down-3-23-as-nifty-gains/articleshow/111831725.cms
"Q1 results today: 45 companies including Infosys, JSW Infrastructure to declare earnings on July 18",2024-07-18 01:45:17+00:00,"Q1 results today: 45 companies are expected to announce quarterly results on July 18. India’s second-largest IT company, is likely to report a consolidated net profit between 3-6 per cent for the April-June quarter of 2024.",https://www.livemint.com/companies/company-results/q1-results-today-45-companies-including-infosys-jsw-infrastructure-to-declare-earnings-on-july-18-11721266030361.html
Aatmanirbharta in defence: MoD notifies fifth Positive Indigenisation List of 346 items for DPSUs,2024-07-17 02:23:32+00:00,"In a major boost to Aatmanirbharta in defence & minimise imports by Defence Public Sector Undertakings (DPSUs), Department of Defence Production (DDP), Ministry of Defence has notified the fifth Positive Indigenisation List (PIL) consisting of 346 items",https://www.globalsecurity.org/wmd/library/news/india/2024/india-240716-india-pib02.htm
Government is committed to capacity building of PSUs: Raksha Rajya Mantri Shri Sanjay Seth,2024-07-17 02:23:09+00:00,Raksha Rajya Mantri Shri Sanjay Seth has reiterated the Government's commitment to ensure capacity building of Public Sector Undertakings (PSUs) by providing all required support and handholding,https://www.globalsecurity.org/wmd/library/news/india/2024/india-240716-india-pib01.htm
"Scindia meets with telecom sector bosses, upholds consumer interests in sectoral growth",2024-07-16 14:52:00+00:00,"The top carriers' meeting with the minister was one of the six stakeholder committee meetings in two days, which were focused on facilitating a two-way dialogue with the government on critical matters",https://www.livemint.com/industry/scindia-meets-with-telecom-sector-bosses-upholds-consumer-interests-in-sectoral-growth-11721138158545.html
"Telecom minister Scindia brainstorms with Ambani, Mittal, others to chart telecom growth roadmap",2024-07-16 13:51:32+00:00,"Scindia during the meeting deliberated on fostering growth of the telecom sector in a collaborative manner while maintaining the interest of consumers and the nation. ""We have identified a rather deep agenda for these committees. Now the members of these comm…",https://economictimes.indiatimes.com/industry/telecom/telecom-news/telecom-minister-scindia-brainstorms-with-ambani-mittal-others-to-chart-telecom-growth-roadmap/articleshow/111787759.cms
"346 more defence items with import substitution value of ₹1,048 crore taken off list",2024-07-16 13:23:47+00:00,"Over 12,300 items indigenised in last three years have helped the DPSUs to place orders worth ₹7,572 crore to domestic vendors, says MoD",https://www.thehindubusinessline.com/economy/logistics/346-more-defence-items-with-import-substitution-value-of-1048-crore-taken-off-list/article68410197.ece
"346 more defence items with import substitution value of ₹1,048 crore taken off list",2024-07-16 13:23:47+00:00,"Over 12,300 items indigenised in last three years have helped the DPSUs to place orders worth ₹7,572 crore to domestic vendors, says MoD",https://www.thehindubusinessline.com/news/346-more-defence-items-with-import-substitution-value-of-1048-crore-taken-off-list/article68410197.ece
